HN ID,Title,Author,Score,Comments,Domain,Product URL,HN Link,Framework,Hosting,Payments,Auth,Analytics,AI Provider
46511469,"Show HN: Prism.Tools – Free and privacy-focused developer utilities",BLGardner,376,102,blgardner.github.io,https://blgardner.github.io/prism.tools/,https://news.ycombinator.com/item?id=46511469,,,,,Google Analytics (GA4),
46556210,"Show HN: I made a memory game to teach you to play piano by ear",vunderba,375,135,lend-me-your-ears.specr.net,https://lend-me-your-ears.specr.net/,https://news.ycombinator.com/item?id=46556210,,Cloudflare,,,,
46499646,"Show HN: DoNotNotify – Log and intelligently block notifications on Android",awaaz,346,165,donotnotify.com,https://donotnotify.com/,https://news.ycombinator.com/item?id=46499646,,Cloudflare,,,,
46488654,"Show HN: An interactive guide to how browsers work",krasun,299,38,howbrowserswork.com,https://howbrowserswork.com/,https://news.ycombinator.com/item?id=46488654,Next.js,Cloudflare,,,Google Analytics (GA4),
46471171,"Show HN: Website that plays the lottery every second",Loeffelmann,262,144,lotteryeverysecond.lffl.me,https://lotteryeverysecond.lffl.me/,https://news.ycombinator.com/item?id=46471171,,Cloudflare,,,,
46557029,"Show HN: Scroll Wikipedia like TikTok",sdan,121,28,quack.sdan.io,https://quack.sdan.io/,https://news.ycombinator.com/item?id=46557029,Next.js,Vercel,,,,
46511903,"Show HN: Similarity = cosine(your_GitHub_stars, Karpathy) Client-side",puzer,111,32,puzer.github.io,https://puzer.github.io/github_recommender/,https://news.ycombinator.com/item?id=46511903,,,,,,
46530832,"Show HN: I visualized the entire history of Citi Bike in the browser",freemanjiang,109,31,bikemap.nyc,https://bikemap.nyc/,https://news.ycombinator.com/item?id=46530832,Next.js,Vercel,,,Google Analytics (GA4),
46478061,"Show HN: Offline tiles and routing and geocoding in one Docker Compose stack",packet_mover,102,38,corviont.com,https://www.corviont.com/,https://news.ycombinator.com/item?id=46478061,,Cloudflare,,,Google Analytics (GA4),
46477961,"Show HN: I built a ""Do not disturb"" Device for my home office",quacky_batak,95,49,apoorv.page,https://apoorv.page/blogs/over-engineered-dnd,https://news.ycombinator.com/item?id=46477961,,Cloudflare,,,Google Analytics (GA4),
46491560,"Show HN: Server-rendered multiplayer games with Lua (no client code)",brunovcosta,82,59,cleoselene.com,https://cleoselene.com/,https://news.ycombinator.com/item?id=46491560,,,,,Google Analytics (GA4),
46516267,"Show HN: Jax-JS, array library in JavaScript targeting WebGPU",ekzhang,82,22,ss.ekzhang.com,https://ss.ekzhang.com/p/jax-js-an-ml-library-for-the-web,https://news.ycombinator.com/item?id=46516267,,Cloudflare,Stripe,,Google Analytics (GA4),
46557879,"Show HN: Rocket Launch and Orbit Simulator",donutthejedi,78,26,donutthejedi.com,https://www.donutthejedi.com/,https://news.ycombinator.com/item?id=46557879,,Vercel,,,,
46546349,"Show HN: A geofence-based social network app 6 years in development",Adrian-ChatLocl,74,57,localvideoapp.com,https://www.localvideoapp.com/,https://news.ycombinator.com/item?id=46546349,React,,,,Google Analytics (GA4),
46499694,"Show HN: A simulator for engineers transitioning from IC to management",pingananth,73,96,apmcommunication.com,https://apmcommunication.com/scenario/backchannel-vp,https://news.ycombinator.com/item?id=46499694,Next.js,Netlify,,,Google Analytics (GA4),
46502148,"Show HN: Make audio loops online",bilalba,69,30,makeloops.online,https://makeloops.online/,https://news.ycombinator.com/item?id=46502148,,,,,Google Analytics (GA4),
46454369,"Show HN: 48-digit prime numbers every git commit",keepamovin,67,54,textonly.github.io,https://textonly.github.io/git-prime/,https://news.ycombinator.com/item?id=46454369,,,,,Google Analytics (GA4),
